band,n,jaccard_min,jaccard_max,mean_jaccard,bm25_mrr,bm25_recall@1,bi_mrr,bi_recall@1,rerank_mrr,rerank_recall@1
q2,271,0.0000,0.1667,0.0494,0.0417,0.0111,0.4632,0.3063,0.4540,0.3210
q3,114,0.2000,0.3000,0.2332,0.3399,0.1930,0.6401,0.4561,0.6623,0.4912
q4,248,0.3333,1.0000,0.4676,0.5995,0.4435,0.8083,0.6815,0.8220,0.7016
zero_overlap,176,0.0000,0.0000,0.0000,0.0006,0.0000,0.4604,0.3182,0.4183,0.3068
